	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
CSNK1G3	4257.12516125675	1.89258851958411	0.230309625874505	8.21758323126005	2.0764512328297e-16	3.84061512893251e-14	up
AP2S1	757.215961690089	1.54957258481762	0.188634881647293	8.21466619156362	2.12755255529744e-16	3.8840267882878e-14	up
ALKBH7	485.061050822083	2.13988803643552	0.260701856958024	8.20818102872228	2.24564463001317e-16	3.96984124200407e-14	up
RPS14	19804.3949895771	1.4684110623723	0.178907731517356	8.20764452110803	2.25569872835293e-16	3.96984124200407e-14	up
CRACR2A	707.040626223142	-1.45293016343208	0.177025687455709	-8.20745386906401	2.25928220360195e-16	3.96984124200407e-14	down
ZNF611	728.093392211315	-1.20479119693383	0.14694627425253	-8.19885501052837	2.42687420213317e-16	4.16031349504706e-14	down
SAMD4B	642.379322654816	-2.19942608624807	0.26821659730919	-8.20018637292852	2.40014630066046e-16	4.16031349504706e-14	down
B3GAT1	342.084649544497	-2.03887497665899	0.249340647782331	-8.17706617349806	2.90838305979311e-16	4.92567959897732e-14	down
RPL37A	4544.35691832533	1.63126078680126	0.199584072209469	8.17330145007366	3.00062991878546e-16	5.02141128194849e-14	up
RPL10	24138.5931630382	1.7228259106312	0.210867535095768	8.17018091404522	3.07927339203691e-16	5.09239365551328e-14	up
RPS5	11344.2150141399	2.11140711169423	0.258953907626632	8.15360204851018	3.53241919242533e-16	5.57923781886774e-14	up
EMB	7552.87434265607	1.70133174404645	0.208649384466595	8.15402234900357	3.52015776236787e-16	5.57923781886774e-14	up
CUTA	884.27457650914	1.4717551427637	0.18045280231321	8.15590073358454	3.4658703145215e-16	5.57923781886774e-14	up
RAP1GAP2	516.75771840979	-1.44266858784547	0.176896503905832	-8.1554386660657	3.47914756841923e-16	5.57923781886774e-14	down
GFOD1	647.941699494734	-1.95834051606015	0.240851934919468	-8.13088969667171	4.26150990068072e-16	6.6560049637632e-14	down
C2CD3	1220.90094158985	-1.30175842597101	0.160489921458329	-8.11115373565071	5.01413675684973e-16	7.74546377923479e-14	down
DBT	222.638335134193	-1.86096317202341	0.229682045245386	-8.10234500496197	5.39098028064245e-16	8.23706628315119e-14	down
RPS13	1726.13311443148	1.76660463521692	0.218118739334994	8.09927950529601	5.5285631499426e-16	8.35645292459604e-14	up
KMT2C	10427.6065237628	-1.17746860460535	0.145485238978457	-8.09338880612972	5.80272668669355e-16	8.67754564200545e-14	down
ENOSF1	509.405229220188	-1.71134891472663	0.21150859670338	-8.09115535443994	5.91014149571959e-16	8.74514305319266e-14	down
GNG11	171.736393299995	2.76389215479908	0.341689919914478	8.08888993708348	6.0210948318381e-16	8.8165135469946e-14	up
LACTB2	120.087352774956	2.28894073519459	0.283204383289781	8.0822927548141	6.35602960254226e-16	9.21100083741614e-14	up
TMEM164	873.186249788844	-1.9155309170116	0.237333713728681	-8.07104429841529	6.9699421023455e-16	9.99759960537456e-14	down
BARD1	1037.13227707538	1.70806413756665	0.211895396310494	8.06088365914184	7.5744892043617e-16	1.07067174814218e-13	up
RPLP1	14079.1384255651	1.65664085210284	0.205533333079732	8.06020525858054	7.61664471894557e-16	1.07067174814218e-13	up
RSL24D1	1567.22857383388	1.72713043217614	0.214615330199555	8.04756319397225	8.44587635968197e-16	1.17548201968366e-13	up
CDK11A	272.752779763932	-1.49550466095621	0.186204107572864	-8.03153421506023	9.62612197081939e-16	1.32661173082165e-13	down
PPA2	345.235667775663	1.69574888643052	0.211447616470819	8.01971152351365	1.0599379659248e-15	1.44655805699077e-13	up
SPINT2	588.257320208805	1.29568086934401	0.161686052051384	8.01355993856689	1.11434918343799e-15	1.50619292996036e-13	up
CCDC17	205.483710215685	-1.90316395618601	0.237547351539378	-8.01172458397428	1.13110949376491e-15	1.51428630036698e-13	down
ANKHD1-EIF4EBP3	4987.05883971562	-1.03047254270634	0.128802188901523	-8.00042725589237	1.23988225964514e-15	1.64424763432375e-13	down
RPA3	208.338419197685	1.78107937350496	0.222878136960538	7.99127001775104	1.33555676180432e-15	1.7545720935218e-13	up
ESD	1313.52352944628	1.58327478338902	0.198352562396625	7.98212417454484	1.43836218344574e-15	1.87213492710155e-13	up
LYPLAL1	433.39901831888	1.91195811999525	0.240901468158505	7.93668106139248	2.07663134838412e-15	2.67809237286564e-13	up
OTUD7B	203.713151140787	-1.3668264995989	0.172252299544183	-7.93502614023628	2.10450994633775e-15	2.68937239233361e-13	down
ACTR6	390.908804762226	1.69764395398267	0.214077989425214	7.93002568148525	2.19100572001791e-15	2.77468174831457e-13	up
DGCR6L	675.088501743084	1.9921273068234	0.251484914337274	7.92145847822783	2.34740647649608e-15	2.94620471786655e-13	up
WDR78	116.958476271419	2.40978984298199	0.304532863933083	7.91306991258425	2.51118241509545e-15	3.12386647867228e-13	up
APPL2	536.567238667791	-1.50078623934821	0.189914374685539	-7.90243625230168	2.7350422217983e-15	3.3724989922648e-13	down
IMP3	835.765032258389	1.55495098044093	0.197152865604124	7.88703210412989	3.09457820406203e-15	3.7826509403913e-13	up
RPL8	15213.1746857323	1.95480286539176	0.247979834534316	7.88291059659226	3.19841918967952e-15	3.87587746114871e-13	up
NCBP3	1058.50536539385	-1.47804598329262	0.187557394357769	-7.88049966440259	3.26074498789376e-15	3.9176318200703e-13	down
SAP130	619.729060321586	-1.39399030382511	0.176919153707169	-7.87925035031762	3.29351024168106e-15	3.92346385316192e-13	down
TTC33	714.062601652127	1.31031748178462	0.166367572962742	7.87603893264748	3.37922981664356e-15	3.99175071702173e-13	up
LRRFIP1	5830.98375836323	-2.06216358764799	0.262201292978304	-7.86481090243377	3.69655412511629e-15	4.33020511139664e-13	down
NDUFA13	1261.93672134703	1.79310012411427	0.228195889810851	7.85772314129126	3.91178735331708e-15	4.54446238227919e-13	up
UBXN6	427.978646137503	1.39363118420374	0.177498283164924	7.8515192336189	4.11027457825888e-15	4.73591227431025e-13	up
RBM6	1633.63227213274	-1.13239765657211	0.144501678924857	-7.83657093119985	4.63016842134201e-15	5.29156727632558e-13	down
SUMO1	743.962815580821	1.38951058609423	0.177508010342055	7.82787539230856	4.96183342801529e-15	5.62487842722669e-13	up
FAM193A	1210.0453430575	-1.21529997899085	0.155297354720895	-7.82563219557103	5.05112098727418e-15	5.68028861744906e-13	down
NME2	1357.93096135892	1.38293028960322	0.176814009169915	7.82138415443227	5.22456384559807e-15	5.82870587123588e-13	up
MED15	1709.05483636293	-1.18596730802846	0.151868614589463	-7.80916656963262	5.75673782890745e-15	6.37184753235843e-13	down
AGPAT4	417.089576257067	-1.66746005828071	0.213569445948939	-7.80757776877585	5.82975049520745e-15	6.40225021180712e-13	down
ZNF544	577.94943508215	-1.31699838641889	0.16871179238396	-7.8062023277046	5.89369388221189e-15	6.42229882963198e-13	down
SIT1	805.085351095062	2.41675654058703	0.309688103780218	7.80384041584682	6.00511212386126e-15	6.49337393270136e-13	up
DNHD1	743.995372164294	-1.3994376653368	0.179359448020234	-7.8024195590685	6.07313413418844e-15	6.51679744460205e-13	down
CCDC91	2885.03318547457	2.06812615932985	0.265377683532524	7.79314270815987	6.53627271865481e-15	6.90829966963388e-13	up
NME3	246.772327377479	1.80998198043204	0.232249908383412	7.79325164444849	6.53063752292365e-15	6.90829966963388e-13	up
RRAS	326.96053982102	2.04880621055115	0.263105099016687	7.78702586231981	6.86049135181114e-15	7.19686021883651e-13	up
JAGN1	567.325253448877	1.26238230013968	0.162270580389395	7.77948964692425	7.28177043093658e-15	7.582210885013e-13	up
FOXO3	1114.08612407505	-2.16545074754537	0.278545187715475	-7.77414524840871	7.59585429281006e-15	7.84187100171584e-13	down
C3orf62	345.10063395382	-2.50355892439261	0.322068809560051	-7.7733665914824	7.64271414409241e-15	7.84187100171584e-13	down
NDUFA4	952.866836046826	1.58770822942666	0.204287529249602	7.77192927663625	7.7299607697401e-15	7.87391728552439e-13	up
RPL29	11238.9649753558	1.75024503973335	0.225331052397414	7.76743826965518	8.00893486100616e-15	8.09939549217004e-13	up
TTLL3	623.989675314164	-1.54579517137317	0.199037359622117	-7.76635690057358	8.07757426625843e-15	8.11046153291391e-13	down
DDX28	781.207523880476	1.95652530771222	0.252004368139312	7.76385473854414	8.2386253308814e-15	8.21350044512055e-13	up
GLO1	750.77520959898	1.16742113217544	0.150465060123233	7.75875230581306	8.57689741424341e-15	8.49052443324082e-13	up
DCXR	541.420066532539	1.88806013216696	0.243430712968741	7.75604733331002	8.76173339665945e-15	8.57836608133146e-13	up
UQCRC1	2135.93917462764	1.73603396865953	0.223840558733378	7.75567206623781	8.78768382806951e-15	8.57836608133146e-13	up
CYB561A3	1642.44143978648	1.4860920587103	0.192347958929846	7.72606097292831	1.10925513319371e-14	1.07536547636579e-12	up
GPX4	1986.80569259751	1.7949765842173	0.232593208891947	7.71723556662898	1.18879821902423e-14	1.1445846962208e-12	up
HSD17B10	786.001737548023	1.77104408703413	0.229820398926258	7.70620926300974	1.29610034747086e-14	1.23698632217541e-12	up
THOC6	437.255974215221	1.72257484873369	0.223548635627051	7.7055932097366	1.30236875351754e-14	1.23698632217541e-12	up
SNX17	4606.75436100515	1.88883978883965	0.245532039240677	7.69284446413188	1.43899404947991e-14	1.33988840903767e-12	up
CD58	883.230653826951	-1.66370794195705	0.216377962854782	-7.68889733504708	1.48408486599627e-14	1.37248558955984e-12	down
NLRC3	1178.62303738239	-1.60250095837856	0.208442054498786	-7.68799253217824	1.49461531535578e-14	1.37319003189256e-12	down
CMTM5	211.095177569345	2.73804204721948	0.356335746227773	7.68388261970578	1.54338087618315e-14	1.39859889057575e-12	up
SMDT1	1144.98453086493	1.85391858968444	0.241260629814544	7.68429806019133	1.53838125433216e-14	1.39859889057575e-12	up
GK5	964.259873139696	-1.66453675554496	0.216657185248691	-7.68281353620612	1.55632038860599e-14	1.39859889057575e-12	down
HOXB3	129.2472008441	-2.0531071611989	0.267250185551503	-7.68234138719892	1.56206890389409e-14	1.39859889057575e-12	down
